"","issn","tilte","code","area"
"65","0007-0955","British Journal of Criminology","3308","Law"
"66","0829-3201","Canadian Journal of Law and Society","3312","Sociology and Political Science"
"67","0829-3201","Canadian Journal of Law and Society","3308","Law"
"68","0887-5367","Hypatia","3318","Gender Studies"
"69","0887-5367","Hypatia","1211","Philosophy"
"70","1362-1025","Citizenship Studies","3305","Geography, Planning and Development"
"71","1362-1025","Citizenship Studies","3320","Political Science and International Relations"
"72","1382-4554","Journal of Ethics","1211","Philosophy"
"73","0008-1973","Cambridge Law Journal","3308","Law"
"74","0266-2671","Economics and Philosophy","1211","Philosophy"
"75","0266-2671","Economics and Philosophy","2002","Economics and Econometrics"
"76","0891-3811","Critical Review","3320","Political Science and International Relations"
"77","0891-3811","Critical Review","1208","Literature and Literary Theory"
"78","0892-6794","Ethics and International Affairs","1211","Philosophy"
"79","0892-6794","Ethics and International Affairs","3320","Political Science and International Relations"
"80","1470-8914","Contemporary Political Theory","3312","Sociology and Political Science"
"81","1470-8914","Contemporary Political Theory","3320","Political Science and International Relations"
"82","0012-2157",NA,NA,NA
"83","1526-5161","American Journal of Bioethics","2910","Issues, Ethics and Legal Aspects"
"84","1526-5161","American Journal of Bioethics","2719","Health Policy"
"85","0022-3816","Journal of Politics","3312","Sociology and Political Science"
"86","1474-8851","European Journal of Political Theory","3312","Sociology and Political Science"
"87","1474-8851","European Journal of Political Theory","3320","Political Science and International Relations"
"88","1352-3252","Legal Theory","1211","Philosophy"
"89","1352-3252","Legal Theory","3308","Law"
"90","0020-5893","International and Comparative Law Quarterly","3320","Political Science and International Relations"
"91","0020-5893","International and Comparative Law Quarterly","3308","Law"
"92","0738-2480","Law and History Review","1202","History"
"93","0738-2480","Law and History Review","3308","Law"
"94","1744-9626","Journal of Global Ethics","1211","Philosophy"
"95","1744-9626","Journal of Global Ethics","3312","Sociology and Political Science"
"96","0047-2352","Journal of Criminal Justice","3207","Social Psychology"
"97","0047-2352","Journal of Criminal Justice","3202","Applied Psychology"
"98","0047-2352","Journal of Criminal Justice","3312","Sociology and Political Science"
"99","0047-2352","Journal of Criminal Justice","3308","Law"
"100","0260-2105","Review of International Studies","3312","Sociology and Political Science"
"101","0260-2105","Review of International Studies","3320","Political Science and International Relations"
"102","0963-8016","Journal of Political Philosophy","1211","Philosophy"
"103","0963-8016","Journal of Political Philosophy","3312","Sociology and Political Science"
"104","1470-594X","Politics, Philosophy and Economics","1211","Philosophy"
"105","1470-594X","Politics, Philosophy and Economics","3312","Sociology and Political Science"
"106","1470-594X","Politics, Philosophy and Economics","2002","Economics and Econometrics"
"107","0004-8402","Australasian Journal of Philosophy","1211","Philosophy"
"108","0008-4239","Canadian Journal of Political Science","3312","Sociology and Political Science"
"109","0376-7418","Philosophy and Medicine","1211","Philosophy"
"110","0376-7418","Philosophy and Medicine","2719","Health Policy"
"111","0376-7418","Philosophy and Medicine","2901","Nursing (miscellaneous)"
"112","1043-4062","Constitutional Political Economy","3312","Sociology and Political Science"
"113","1043-4062","Constitutional Political Economy","1211","Philosophy"
"114","1043-4062","Constitutional Political Economy","2002","Economics and Econometrics"
"115","1043-4062","Constitutional Political Economy","3308","Law"
"116","1353-3452","Science and Engineering Ethics","3306","Health (social science)"
"117","1353-3452","Science and Engineering Ethics","2910","Issues, Ethics and Legal Aspects"
"118","1353-3452","Science and Engineering Ethics","2719","Health Policy"
"119","1353-3452","Science and Engineering Ethics","1405","Management of Technology and Innovation"
"120","1537-5927","Perspectives on Politics","3320","Political Science and International Relations"
"121","1747-9991","Philosophy Compass","1211","Philosophy"
"122","0047-2786","Journal of Social Philosophy","1211","Philosophy"
"123","1386-9795","Philosophical Explorations","1211","Philosophy"
"124","2045-3817","Global Constitutionalism","1202","History"
"125","2045-3817","Global Constitutionalism","1211","Philosophy"
"126","2045-3817","Global Constitutionalism","3312","Sociology and Political Science"
"127","0921-8009","Ecological Economics","2300","Environmental Science (all)"
"128","0921-8009","Ecological Economics","2002","Economics and Econometrics"
"129","0922-1565","Leiden Journal of International Law","3320","Political Science and International Relations"
"130","0922-1565","Leiden Journal of International Law","3308","Law"
"131","0885-7466","Social Justice Research","3314","Anthropology"
"132","0885-7466","Social Justice Research","3312","Sociology and Political Science"
"133","0885-7466","Social Justice Research","3308","Law"
"134","1093-1082",NA,NA,NA
"135","1534-6781",NA,NA,NA
"136","0824-2577","Informal Logic","1211","Philosophy"
"137","1874-5490","Neuroethics","1211","Philosophy"
"138","1874-5490","Neuroethics","2808","Neurology"
"139","1874-5490","Neuroethics","2719","Health Policy"
"140","1874-5490","Neuroethics","2738","Psychiatry and Mental Health"
"141","0191-4537","Philosophy and Social Criticism","1211","Philosophy"
"142","0191-4537","Philosophy and Social Criticism","3312","Sociology and Political Science"
"143","0026-1068","Metaphilosophy","1211","Philosophy"
"144","0957-8536","Law and Critique","3308","Law"
"145","0966-8373","European Journal of Philosophy","1211","Philosophy"
"146","1386-7423","Medicine, Health Care and Philosophy","3306","Health (social science)"
"147","1386-7423","Medicine, Health Care and Philosophy","3304","Education"
"148","1386-7423","Medicine, Health Care and Philosophy","2719","Health Policy"
"149","0031-8205","Philosophy and Phenomenological Research","1211","Philosophy"
"150","0031-8205","Philosophy and Phenomenological Research","1207","History and Philosophy of Science"
"151","0048-5829","Public Choice","3312","Sociology and Political Science"
"152","0048-5829","Public Choice","2002","Economics and Econometrics"
"153","0144-8188","International Review of Law and Economics","2003","Finance"
"154","0144-8188","International Review of Law and Economics","2002","Economics and Econometrics"
"155","0144-8188","International Review of Law and Economics","3308","Law"
"156","0165-0106","Erkenntnis","1211","Philosophy"
"157","0165-0106","Erkenntnis","2609","Logic"
"158","0029-4624","Nous","1211","Philosophy"
"159","0966-3622","Feminist Legal Studies","3318","Gender Studies"
"160","1388-1957","Ethics and Information Technology","1706","Computer Science Applications"
"161","1388-1957","Ethics and Information Technology","3309","Library and Information Sciences"
"162","1566-7650","Argumentation Library","1203","Language and Linguistics"
"163","1566-7650","Argumentation Library","1211","Philosophy"
"164","1566-7650","Argumentation Library","3310","Linguistics and Language"
"165","1566-7650","Argumentation Library","3308","Law"
"166","1187-7863","Journal of Agricultural and Environmental Ethics","2304","Environmental Chemistry"
"167","1187-7863","Journal of Agricultural and Environmental Ethics","1202","History"
"168","1187-7863","Journal of Agricultural and Environmental Ethics","1101","Agricultural and Biological Sciences (miscellaneous)"
"169","1187-7863","Journal of Agricultural and Environmental Ethics","2300","Environmental Science (all)"
"170","1462-4745","Punishment and Society","3301","Social Sciences (miscellaneous)"
"171","1462-4745","Punishment and Society","3308","Law"
"172","1754-9973","Public Health Ethics","2910","Issues, Ethics and Legal Aspects"
"173","1754-9973","Public Health Ethics","2719","Health Policy"
"174","0160-2527","International Journal of Law and Psychiatry","2734","Pathology and Forensic Medicine"
"175","0160-2527","International Journal of Law and Psychiatry","2738","Psychiatry and Mental Health"
"176","0160-2527","International Journal of Law and Psychiatry","3308","Law"
"177","1065-9129","Political Research Quarterly","3312","Sociology and Political Science"
"178","0741-8825","Justice Quarterly","2734","Pathology and Forensic Medicine"
"179","0741-8825","Justice Quarterly","3308","Law"
"180","0092-5853","American Journal of Political Science","3312","Sociology and Political Science"
"181","0092-5853","American Journal of Political Science","3320","Political Science and International Relations"
"182","0265-8240","Law and Policy","3312","Sociology and Political Science"
"183","0265-8240","Law and Policy","3308","Law"
"184","1354-0661","European Journal of International Relations","3312","Sociology and Political Science"
"185","1354-0661","European Journal of International Relations","3320","Political Science and International Relations"
"186","0004-3702","Artificial Intelligence","1203","Language and Linguistics"
"187","0004-3702","Artificial Intelligence","3310","Linguistics and Language"
"188","0004-3702","Artificial Intelligence","1702","Artificial Intelligence"
"189","0022-5363","Journal of Value Inquiry","1211","Philosophy"
"190","0022-5363","Journal of Value Inquiry","3301","Social Sciences (miscellaneous)"
"191","0022-5363","Journal of Value Inquiry","3308","Law"
"192","0147-7307","Law and Human Behavior","1201","Arts and Humanities (miscellaneous)"
"193","0147-7307","Law and Human Behavior","3200","Psychology (all)"
"194","0147-7307","Law and Human Behavior","2738","Psychiatry and Mental Health"
"195","0147-7307","Law and Human Behavior","3308","Law"
"196","0176-1714","Social Choice and Welfare","3301","Social Sciences (miscellaneous)"
"197","0176-1714","Social Choice and Welfare","2002","Economics and Econometrics"
"198","0275-0392","Human Rights Quarterly","3312","Sociology and Political Science"
"199","0275-0392","Human Rights Quarterly","3301","Social Sciences (miscellaneous)"
"200","0929-1261","European Journal of Law and Economics","1403","Business and International Management"
"201","0929-1261","European Journal of Law and Economics","2002","Economics and Econometrics"
"202","0929-1261","European Journal of Law and Economics","3308","Law"
"203","1054-6863","Kennedy Institute of Ethics Journal","2910","Issues, Ethics and Legal Aspects"
"204","1054-6863","Kennedy Institute of Ethics Journal","3306","Health (social science)"
"205","1054-6863","Kennedy Institute of Ethics Journal","2719","Health Policy"
"206","1054-6863","Kennedy Institute of Ethics Journal","1207","History and Philosophy of Science"
"207","1386-7415","Theoretical Medicine and Bioethics","2910","Issues, Ethics and Legal Aspects"
"208","1038-3441","Griffith Law Review","3308","Law"
"209","1369-4154","Kantian Review","1211","Philosophy"
"210","1059-4337","Studies in Law Politics and Society","3312","Sociology and Political Science"
"211","1059-4337","Studies in Law Politics and Society","3320","Political Science and International Relations"
"212","1059-4337","Studies in Law Politics and Society","3308","Law"
"213","1073-1105","Journal of Law, Medicine and Ethics","2700","Medicine (all)"
"214","1475-4835","Journal of Human Rights","3312","Sociology and Political Science"
"215","1475-4835","Journal of Human Rights","3320","Political Science and International Relations"
"216","1475-4835","Journal of Human Rights","3308","Law"
"217","1752-9719","International Theory","1211","Philosophy"
"218","1752-9719","International Theory","3320","Political Science and International Relations"
"219","1752-9719","International Theory","3308","Law"
"220","0003-2638","Analysis","1211","Philosophy"
"221","0951-5089","Philosophical Psychology","1211","Philosophy"
"222","0951-5089","Philosophical Psychology","3202","Applied Psychology"
"223","1874-6306",NA,NA,NA
"224","1550-3585","Annual Review of Law and Social Science","3312","Sociology and Political Science"
"225","1550-3585","Annual Review of Law and Social Science","3308","Law"
"226","1946-2174","Argument and Computation","3310","Linguistics and Language"
"227","1946-2174","Argument and Computation","1706","Computer Science Applications"
"228","1946-2174","Argument and Computation","2605","Computational Mathematics"
"229","1946-2174","Argument and Computation","1702","Artificial Intelligence"
"230","0039-3746","Studies in Philosophy and Education","3304","Education"
"231","0039-3746","Studies in Philosophy and Education","1211","Philosophy"
"232","0094-8705","Journal of the Philosophy of Sport","3306","Health (social science)"
"233","0094-8705","Journal of the Philosophy of Sport","3301","Social Sciences (miscellaneous)"
"234","1368-4310","European Journal of Social Theory","3312","Sociology and Political Science"
"235","0020-8183","International Organization","3312","Sociology and Political Science"
"236","0020-8183","International Organization","3320","Political Science and International Relations"
"237","0020-8183","International Organization","1407","Organizational Behavior and Human Resource Management"
"238","0020-8183","International Organization","3308","Law"
"239","0167-5249","Law and Philosophy","1211","Philosophy"
"240","0167-5249","Law and Philosophy","3308","Law"
"241","0964-4016","Environmental Politics","2301","Environmental Science (miscellaneous)"
"242","0964-4016","Environmental Politics","3312","Sociology and Political Science"
"243","1043-9463","Policing and Society","3312","Sociology and Political Science"
"244","1043-9463","Policing and Society","3308","Law"
"245","0963-1801","Cambridge Quarterly of Healthcare Ethics","3306","Health (social science)"
"246","0963-1801","Cambridge Quarterly of Healthcare Ethics","2910","Issues, Ethics and Legal Aspects"
"247","0963-1801","Cambridge Quarterly of Healthcare Ethics","2719","Health Policy"
"248","0007-1234","British Journal of Political Science","3320","Political Science and International Relations"
"249","1744-1374","Journal of Institutional Economics","2000","Economics, Econometrics and Finance (all)"
"250","0031-8094","Philosophical Quarterly","1211","Philosophy"
"251","1755-0882","Journal of International Political Theory","3312","Sociology and Political Science"
"252","1755-0882","Journal of International Political Theory","3301","Social Sciences (miscellaneous)"
"253","0034-6764","Review of Social Economy","2002","Economics and Econometrics"
"254","0165-070X","Netherlands International Law Review","3308","Law"
"255","1654-6369","Ethics and Global Politics","3312","Sociology and Political Science"
"256","1654-6369","Ethics and Global Politics","3320","Political Science and International Relations"
"257","0031-8191","Philosophy","1211","Philosophy"
"258","1350-1763","Journal of European Public Policy","3312","Sociology and Political Science"
"259","1350-1763","Journal of European Public Policy","3321","Public Administration"
"260","2071-1050","Sustainability","3305","Geography, Planning and Development"
"261","2071-1050","Sustainability","2105","Renewable Energy, Sustainability and the Environment"
"262","2071-1050","Sustainability","2301","Environmental Science (miscellaneous)"
"263","2071-1050","Sustainability","2102","Energy Engineering and Power Technology"
"264","2071-1050","Sustainability","2308","Management, Monitoring, Policy and Law"
"265","0002-9300","American Journal of International Law","3320","Political Science and International Relations"
"266","0002-9300","American Journal of International Law","3308","Law"
"267","0026-7961","Modern Law Review","3308","Law"
"268","0167-7411","Topoi","1211","Philosophy"
"269","1065-3058","Health Care Analysis","2910","Issues, Ethics and Legal Aspects"
"270","1065-3058","Health Care Analysis","3306","Health (social science)"
"271","1065-3058","Health Care Analysis","2719","Health Policy"
"272","0040-5825","Theoria","1211","Philosophy"
"273","0004-8658","Australian and New Zealand Journal of Criminology","2734","Pathology and Forensic Medicine"
"274","0004-8658","Australian and New Zealand Journal of Criminology","3308","Law"
"275","0004-8658","Australian and New Zealand Journal of Criminology","3207","Social Psychology"
"276","0090-5917","Political Theory","1202","History"
"277","0090-5917","Political Theory","3312","Sociology and Political Science"
"278","1080-0727","Indiana Journal of Global Legal Studies","3308","Law"
"279","0026-9662","The Monist","1211","Philosophy"
"280","0002-7642","American Behavioral Scientist","3207","Social Psychology"
"281","0002-7642","American Behavioral Scientist","3316","Cultural Studies"
"282","0002-7642","American Behavioral Scientist","3304","Education"
"283","0002-7642","American Behavioral Scientist","3312","Sociology and Political Science"
"284","0002-7642","American Behavioral Scientist","3300","Social Sciences (all)"
"285","0144-932X","Liverpool Law Review","3308","Law"
"286","0263-323X","Journal of Law and Society","3312","Sociology and Political Science"
"287","0263-323X","Journal of Law and Society","3308","Law"
"288","1387-6678","Library of Ethics and Applied Philosophy","1202","History"
"289","1387-6678","Library of Ethics and Applied Philosophy","3303","Development"
"290","1387-6678","Library of Ethics and Applied Philosophy","1211","Philosophy"
"291","1387-6678","Library of Ethics and Applied Philosophy","3301","Social Sciences (miscellaneous)"
"292","1387-6678","Library of Ethics and Applied Philosophy","1207","History and Philosophy of Science"
"293","1468-2486","International Studies Review","3305","Geography, Planning and Development"
"294","1468-2486","International Studies Review","3320","Political Science and International Relations"
"295","2210-5433","Philosophy and Technology","1211","Philosophy"
"296","2210-5433","Philosophy and Technology","1207","History and Philosophy of Science"
"297","1089-0017","Good Society","3312","Sociology and Political Science"
"298","1089-0017","Good Society","1211","Philosophy"
"299","1748-8958","Criminology and Criminal Justice","3308","Law"
"300","1362-4806","Theoretical Criminology","2734","Pathology and Forensic Medicine"
"301","1362-4806","Theoretical Criminology","3312","Sociology and Political Science"
"302","1362-4806","Theoretical Criminology","3308","Law"
"303","0214-8676","Doxa. Cuadernos de Filosofia del Derecho","1211","Philosophy"
"304","0214-8676","Doxa. Cuadernos de Filosofia del Derecho","3308","Law"
"305","0303-8300","Social Indicators Research","3204","Developmental and Educational Psychology"
"306","0303-8300","Social Indicators Research","1201","Arts and Humanities (miscellaneous)"
"307","0303-8300","Social Indicators Research","3312","Sociology and Political Science"
"308","0303-8300","Social Indicators Research","3300","Social Sciences (all)"
"309","0026-4423","Mind","1211","Philosophy"
"310","0277-9536","Social Science and Medicine","3306","Health (social science)"
"311","0277-9536","Social Science and Medicine","1207","History and Philosophy of Science"
"312","0031-8213","Philosophy and Rhetoric","1211","Philosophy"
"313","0258-0136","South African Journal of Philosophy","1211","Philosophy"
"314","0384-9694","Journal of Religious Ethics","1212","Religious Studies"
"315","0889-3047","Review of Austrian Economics","2000","Economics, Econometrics and Finance (all)"
"316","0963-2719","Environmental Values","2300","Environmental Science (all)"
"317","0963-2719","Environmental Values","1211","Philosophy"
"318","1742-3600","Episteme","1207","History and Philosophy of Science"
"319","0011-1287","Crime and Delinquency","2734","Pathology and Forensic Medicine"
"320","0011-1287","Crime and Delinquency","3308","Law"
"321","0033-5630","Quarterly Journal of Speech","3304","Education"
"322","0033-5630","Quarterly Journal of Speech","3315","Communication"
"323","0033-5630","Quarterly Journal of Speech","1203","Language and Linguistics"
"324","2150-7759","AJOB Neuroscience","2800","Neuroscience (all)"
"325","0010-0277","Cognition","3205","Experimental and Cognitive Psychology"
"326","0010-0277","Cognition","1203","Language and Linguistics"
"327","0010-0277","Cognition","3204","Developmental and Educational Psychology"
"328","0010-0277","Cognition","3310","Linguistics and Language"
"329","0010-0277","Cognition","2805","Cognitive Neuroscience"
"330","0020-8833","International Studies Quarterly","3312","Sociology and Political Science"
"331","0020-8833","International Studies Quarterly","3320","Political Science and International Relations"
"332","0022-5053","Journal of the History of Philosophy","1211","Philosophy"
"333","0277-3945","Rhetoric Society Quarterly","3315","Communication"
"334","0277-3945","Rhetoric Society Quarterly","3310","Linguistics and Language"
"335","0925-4994","Crime, Law and Social Change","2734","Pathology and Forensic Medicine"
"336","0925-4994","Crime, Law and Social Change","3300","Social Sciences (all)"
"337","0925-4994","Crime, Law and Social Change","3308","Law"
"338","1876-4045","Hague Journal on the Rule of Law","3308","Law"
"339","0021-3624","Journal of Economic Issues","1400","Business, Management and Accounting (all)"
"340","0021-3624","Journal of Economic Issues","2002","Economics and Econometrics"
"341","0022-3514","Journal of Personality and Social Psychology","3207","Social Psychology"
"342","0022-3514","Journal of Personality and Social Psychology","3312","Sociology and Political Science"
"343","1502-7570","Journal of Military Ethics","3312","Sociology and Political Science"
"344","1502-7570","Journal of Military Ethics","1211","Philosophy"
"345","1664-1078","Frontiers in Psychology","3200","Psychology (all)"
"346","1945-2829","Journal of Human Development and Capabilities","3303","Development"
"347","2352-6718",NA,NA,NA
"348","1028-2580","Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice","3308","Law"
"349","1733-5566","Diametros","1211","Philosophy"
"350","0279-0750","Pacific Philosophical Quarterly","1211","Philosophy"
"351","1351-0487",NA,NA,NA
"352","1369-183X","Journal of Ethnic and Migration Studies","3317","Demography"
"353","1369-183X","Journal of Ethnic and Migration Studies","1201","Arts and Humanities (miscellaneous)"
"354","0022-5037","Journal of the History of Ideas","1211","Philosophy"
"355","1932-6203","PLoS ONE","1000","Multidisciplinary"
"356","2194-5624","Moral Philosophy and Politics","1211","Philosophy"
"357","2194-5624","Moral Philosophy and Politics","3312","Sociology and Political Science"
"358","2194-5624","Moral Philosophy and Politics","1207","History and Philosophy of Science"
"359","0003-0481","American Philosophical Quarterly","1211","Philosophy"
"360","0013-1857","Educational Philosophy and Theory","3304","Education"
"361","0013-1857","Educational Philosophy and Theory","1207","History and Philosophy of Science"
"362","0098-261X","Justice System Journal","3308","Law"
"363","1567-8008",NA,NA,NA
"364","0066-7374","Proceedings of the Aristotelean Society","1211","Philosophy"
"365","0095-3997","Administration and Society","3312","Sociology and Political Science"
"366","0095-3997","Administration and Society","3321","Public Administration"
"367","0095-3997","Administration and Society","1406","Marketing"
"368","0167-2681","Journal of Economic Behavior and Organization","2002","Economics and Econometrics"
"369","0167-2681","Journal of Economic Behavior and Organization","1407","Organizational Behavior and Human Resource Management"
"370","1071-6076","Philosophy, Psychiatry and Psychology","2303","Ecology"
"371","1071-6076","Philosophy, Psychiatry and Psychology","1211","Philosophy"
"372","1071-6076","Philosophy, Psychiatry and Psychology","2738","Psychiatry and Mental Health"
"373","1360-0834","Information and Communications Technology Law","3315","Communication"
"374","1360-0834","Information and Communications Technology Law","1706","Computer Science Applications"
"375","1360-0834","Information and Communications Technology Law","3308","Law"
"376","1581-7652","Revus","1211","Philosophy"
"377","1581-7652","Revus","3308","Law"
"378","0048-3915","Philosophy and Public Affairs","3301","Social Sciences (miscellaneous)"
"379","0048-3915","Philosophy and Public Affairs","3320","Political Science and International Relations"
"380","0048-3915","Philosophy and Public Affairs","1207","History and Philosophy of Science"
"381","0378-2166","Journal of Pragmatics","1203","Language and Linguistics"
"382","0378-2166","Journal of Pragmatics","3310","Linguistics and Language"
"383","0378-2166","Journal of Pragmatics","1702","Artificial Intelligence"
"384","0967-2559","International Journal of Philosophical Studies","1211","Philosophy"
"385","1876-763X",NA,NA,NA
"386","0018-246X","Historical Journal","1202","History"
"387","0021-8553","Journal of African Law","3308","Law"
"388","0887-0373","Public Affairs Quarterly","2700","Medicine (all)"
"389","1477-3708","European Journal of Criminology","3308","Law"
"390","0556-8641","Philosophical Papers","1211","Philosophy"
"391","1176-7529","Journal of Bioethical Inquiry","3306","Health (social science)"
"392","1176-7529","Journal of Bioethical Inquiry","2719","Health Policy"
"393","1802-3843",NA,NA,NA
"394","1871-0409","Studies in Global Justice","3312","Sociology and Political Science"
"395","1871-0409","Studies in Global Justice","1211","Philosophy"
"396","1871-0409","Studies in Global Justice","3320","Political Science and International Relations"
"397","1871-0409","Studies in Global Justice","3308","Law"
"398","0306-8293","International Journal of Social Economics","2002","Economics and Econometrics"
"399","0306-8293","International Journal of Social Economics","3300","Social Sciences (all)"
"400","2053-4477","Journal of the American Philosophical Association","1211","Philosophy"
"401","0047-2530","Journal of Legal Studies","3308","Law"
"402","1094-8392","Rhetoric and Public Affairs","1203","Language and Linguistics"
"403","1094-8392","Rhetoric and Public Affairs","3315","Communication"
"404","1094-8392","Rhetoric and Public Affairs","3312","Sociology and Political Science"
"405","1094-8392","Rhetoric and Public Affairs","3310","Linguistics and Language"
"406","1718-9977",NA,NA,NA
"407","1865-0929","Communications in Computer and Information Science","1700","Computer Science (all)"
"408","1865-0929","Communications in Computer and Information Science","2600","Mathematics (all)"
"409","0269-1728","Social Epistemology","1211","Philosophy"
"410","0269-1728","Social Epistemology","3300","Social Sciences (all)"
"411","1036-1146","Australian Journal of Political Science","3312","Sociology and Political Science"
"412","1727-3781","Potchefstroom Electronic Law Journal","3312","Sociology and Political Science"
"413","1727-3781","Potchefstroom Electronic Law Journal","3308","Law"
"414","0016-7185","Geoforum","3312","Sociology and Political Science"
"415","1468-7968","Ethnicities","3316","Cultural Studies"
"416","1468-7968","Ethnicities","1201","Arts and Humanities (miscellaneous)"
"417","1533-6077","Nous-Supplement: Philosophical Issues","1211","Philosophy"
"418","1318-3222","Javnost","3315","Communication"
"419","1748-5983","Regulation and Governance","3312","Sociology and Political Science"
"420","1748-5983","Regulation and Governance","3321","Public Administration"
"421","1748-5983","Regulation and Governance","3308","Law"
"422","1751-133X","Sport, Ethics and Philosophy","3612","Physical Therapy, Sports Therapy and Rehabilitation"
"423","1751-133X","Sport, Ethics and Philosophy","1211","Philosophy"
"424","2211-2707","Ethical Economy","1211","Philosophy"
"425","2211-2707","Ethical Economy","3312","Sociology and Political Science"
"426","2211-2707","Ethical Economy","2002","Economics and Econometrics"
"427","0305-7240","Journal of Moral Education","1212","Religious Studies"
"428","0703-6337","Journal of European Integration","3312","Sociology and Political Science"
"429","0703-6337","Journal of European Integration","3320","Political Science and International Relations"
"430","0957-4174","Expert Systems with Applications","2200","Engineering (all)"
"431","0957-4174","Expert Systems with Applications","1706","Computer Science Applications"
"432","0957-4174","Expert Systems with Applications","1702","Artificial Intelligence"
"433","1528-8870","Cambridge Yearbook of European Legal Studies","3308","Law"
"434","1559-3061",NA,NA,NA
"435","1878-5158","Review of Philosophy and Psychology","3205","Experimental and Cognitive Psychology"
"436","1878-5158","Review of Philosophy and Psychology","1211","Philosophy"
"437","0172-4770",NA,NA,NA
"438","0305-750X","World Development","3305","Geography, Planning and Development"
"439","0305-750X","World Development","3303","Development"
"440","0305-750X","World Development","3312","Sociology and Political Science"
"441","0305-750X","World Development","2002","Economics and Econometrics"
"442","0306-9400","Law Teacher","3304","Education"
