"","X","issn","tilte","code","area","area2"
"129",141,"0191-4537","Philosophy and Social Criticism",1211,"Philosophy","Philosophy"
"130",142,"0191-4537","Philosophy and Social Criticism",3312,"Sociology and Political Science","Social sciences"
"131",143,"0026-1068","Metaphilosophy",1211,"Philosophy","Philosophy"
"132",145,"0966-8373","European Journal of Philosophy",1211,"Philosophy","Philosophy"
"133",146,"1386-7423","Medicine, Health Care and Philosophy",3306,"Health (social science)","Social sciences"
"134",147,"1386-7423","Medicine, Health Care and Philosophy",3304,"Education","Social sciences"
"135",148,"1386-7423","Medicine, Health Care and Philosophy",2719,"Health Policy","Other"
"136",149,"0031-8205","Philosophy and Phenomenological Research",1211,"Philosophy","Philosophy"
"137",150,"0031-8205","Philosophy and Phenomenological Research",1207,"History and Philosophy of Science","Humanities"
"138",151,"0048-5829","Public Choice",3312,"Sociology and Political Science","Social sciences"
"139",152,"0048-5829","Public Choice",2002,"Economics and Econometrics","Social sciences"
"140",153,"0144-8188","International Review of Law and Economics",2003,"Finance","Social sciences"
"141",154,"0144-8188","International Review of Law and Economics",2002,"Economics and Econometrics","Social sciences"
"142",155,"0144-8188","International Review of Law and Economics",3308,"Law","Law"
"143",156,"0165-0106","Erkenntnis",1211,"Philosophy","Philosophy"
"144",157,"0165-0106","Erkenntnis",2609,"Logic","Other"
"145",158,"0029-4624","Nous",1211,"Philosophy","Philosophy"
"146",159,"0966-3622","Feminist Legal Studies",3318,"Gender Studies","Social sciences"
"147",160,"1388-1957","Ethics and Information Technology",1706,"Computer Science Applications","Other"
"148",161,"1388-1957","Ethics and Information Technology",3309,"Library and Information Sciences","Social sciences"
"149",162,"1566-7650","Argumentation Library",1203,"Language and Linguistics","Humanities"
"150",163,"1566-7650","Argumentation Library",1211,"Philosophy","Philosophy"
"151",164,"1566-7650","Argumentation Library",3310,"Linguistics and Language","Social sciences"
"152",165,"1566-7650","Argumentation Library",3308,"Law","Law"
"153",166,"1187-7863","Journal of Agricultural and Environmental Ethics",2304,"Environmental Chemistry","Other"
"154",167,"1187-7863","Journal of Agricultural and Environmental Ethics",1202,"History","Humanities"
"155",168,"1187-7863","Journal of Agricultural and Environmental Ethics",1101,"Agricultural and Biological Sciences (miscellaneous)","Other"
"156",169,"1187-7863","Journal of Agricultural and Environmental Ethics",2300,"Environmental Science (all)","Other"
"157",170,"1462-4745","Punishment and Society",3301,"Social Sciences (miscellaneous)","Social sciences"
"158",171,"1462-4745","Punishment and Society",3308,"Law","Law"
"159",172,"1754-9973","Public Health Ethics",2910,"Issues, Ethics and Legal Aspects","Other"
"160",173,"1754-9973","Public Health Ethics",2719,"Health Policy","Other"
"161",174,"0160-2527","International Journal of Law and Psychiatry",2734,"Pathology and Forensic Medicine","Other"
"162",175,"0160-2527","International Journal of Law and Psychiatry",2738,"Psychiatry and Mental Health","Other"
"163",176,"0160-2527","International Journal of Law and Psychiatry",3308,"Law","Law"
"164",177,"1065-9129","Political Research Quarterly",3312,"Sociology and Political Science","Social sciences"
"165",178,"0741-8825","Justice Quarterly",2734,"Pathology and Forensic Medicine","Other"
"166",179,"0741-8825","Justice Quarterly",3308,"Law","Law"
"167",180,"0092-5853","American Journal of Political Science",3312,"Sociology and Political Science","Social sciences"
"168",181,"0092-5853","American Journal of Political Science",3320,"Political Science and International Relations","Social sciences"
"169",182,"0265-8240","Law and Policy",3312,"Sociology and Political Science","Social sciences"
"170",183,"0265-8240","Law and Policy",3308,"Law","Law"
"171",184,"1354-0661","European Journal of International Relations",3312,"Sociology and Political Science","Social sciences"
"172",185,"1354-0661","European Journal of International Relations",3320,"Political Science and International Relations","Social sciences"
"173",186,"0004-3702","Artificial Intelligence",1203,"Language and Linguistics","Humanities"
"174",187,"0004-3702","Artificial Intelligence",3310,"Linguistics and Language","Social sciences"
"175",188,"0004-3702","Artificial Intelligence",1702,"Artificial Intelligence","Other"
"176",189,"0022-5363","Journal of Value Inquiry",1211,"Philosophy","Philosophy"
"177",190,"0022-5363","Journal of Value Inquiry",3301,"Social Sciences (miscellaneous)","Social sciences"
"178",191,"0022-5363","Journal of Value Inquiry",3308,"Law","Law"
"179",192,"0147-7307","Law and Human Behavior",1201,"Arts and Humanities (miscellaneous)","Humanities"
"180",193,"0147-7307","Law and Human Behavior",3200,"Psychology (all)","Other"
"181",194,"0147-7307","Law and Human Behavior",2738,"Psychiatry and Mental Health","Other"
"182",195,"0147-7307","Law and Human Behavior",3308,"Law","Law"
"183",196,"0176-1714","Social Choice and Welfare",3301,"Social Sciences (miscellaneous)","Social sciences"
"184",197,"0176-1714","Social Choice and Welfare",2002,"Economics and Econometrics","Social sciences"
"185",198,"0275-0392","Human Rights Quarterly",3312,"Sociology and Political Science","Social sciences"
"186",199,"0275-0392","Human Rights Quarterly",3301,"Social Sciences (miscellaneous)","Social sciences"
"187",200,"0929-1261","European Journal of Law and Economics",1403,"Business and International Management","Social sciences"
"188",201,"0929-1261","European Journal of Law and Economics",2002,"Economics and Econometrics","Social sciences"
"189",202,"0929-1261","European Journal of Law and Economics",3308,"Law","Law"
"190",203,"1054-6863","Kennedy Institute of Ethics Journal",2910,"Issues, Ethics and Legal Aspects","Other"
"191",204,"1054-6863","Kennedy Institute of Ethics Journal",3306,"Health (social science)","Social sciences"
"192",205,"1054-6863","Kennedy Institute of Ethics Journal",2719,"Health Policy","Other"
"193",206,"1054-6863","Kennedy Institute of Ethics Journal",1207,"History and Philosophy of Science","Humanities"
"194",207,"1386-7415","Theoretical Medicine and Bioethics",2910,"Issues, Ethics and Legal Aspects","Other"
"195",208,"1038-3441","Griffith Law Review",3308,"Law","Law"
"196",209,"1369-4154","Kantian Review",1211,"Philosophy","Philosophy"
"197",210,"1059-4337","Studies in Law Politics and Society",3312,"Sociology and Political Science","Social sciences"
"198",211,"1059-4337","Studies in Law Politics and Society",3320,"Political Science and International Relations","Social sciences"
"199",212,"1059-4337","Studies in Law Politics and Society",3308,"Law","Law"
"200",213,"1073-1105","Journal of Law, Medicine and Ethics",2700,"Medicine (all)","Other"
"201",214,"1475-4835","Journal of Human Rights",3312,"Sociology and Political Science","Social sciences"
"202",215,"1475-4835","Journal of Human Rights",3320,"Political Science and International Relations","Social sciences"
"203",216,"1475-4835","Journal of Human Rights",3308,"Law","Law"
"204",217,"1752-9719","International Theory",1211,"Philosophy","Philosophy"
"205",218,"1752-9719","International Theory",3320,"Political Science and International Relations","Social sciences"
"206",219,"1752-9719","International Theory",3308,"Law","Law"
"207",220,"0003-2638","Analysis",1211,"Philosophy","Philosophy"
"208",221,"0951-5089","Philosophical Psychology",1211,"Philosophy","Philosophy"
"209",222,"0951-5089","Philosophical Psychology",3202,"Applied Psychology","Other"
"210",224,"1550-3585","Annual Review of Law and Social Science",3312,"Sociology and Political Science","Social sciences"
"211",225,"1550-3585","Annual Review of Law and Social Science",3308,"Law","Law"
"212",226,"1946-2174","Argument and Computation",3310,"Linguistics and Language","Social sciences"
"213",227,"1946-2174","Argument and Computation",1706,"Computer Science Applications","Other"
"214",228,"1946-2174","Argument and Computation",2605,"Computational Mathematics","Other"
"215",229,"1946-2174","Argument and Computation",1702,"Artificial Intelligence","Other"
"216",230,"0039-3746","Studies in Philosophy and Education",3304,"Education","Social sciences"
"217",231,"0039-3746","Studies in Philosophy and Education",1211,"Philosophy","Philosophy"
"218",232,"0094-8705","Journal of the Philosophy of Sport",3306,"Health (social science)","Social sciences"
"219",233,"0094-8705","Journal of the Philosophy of Sport",3301,"Social Sciences (miscellaneous)","Social sciences"
"220",234,"1368-4310","European Journal of Social Theory",3312,"Sociology and Political Science","Social sciences"
"221",235,"0020-8183","International Organization",3312,"Sociology and Political Science","Social sciences"
"222",236,"0020-8183","International Organization",3320,"Political Science and International Relations","Social sciences"
"223",237,"0020-8183","International Organization",1407,"Organizational Behavior and Human Resource Management","Social sciences"
"224",238,"0020-8183","International Organization",3308,"Law","Law"
"225",241,"0964-4016","Environmental Politics",2301,"Environmental Science (miscellaneous)","Other"
"226",242,"0964-4016","Environmental Politics",3312,"Sociology and Political Science","Social sciences"
"227",243,"1043-9463","Policing and Society",3312,"Sociology and Political Science","Social sciences"
"228",244,"1043-9463","Policing and Society",3308,"Law","Law"
"229",245,"0963-1801","Cambridge Quarterly of Healthcare Ethics",3306,"Health (social science)","Social sciences"
"230",246,"0963-1801","Cambridge Quarterly of Healthcare Ethics",2910,"Issues, Ethics and Legal Aspects","Other"
"231",247,"0963-1801","Cambridge Quarterly of Healthcare Ethics",2719,"Health Policy","Other"
"232",248,"0007-1234","British Journal of Political Science",3320,"Political Science and International Relations","Social sciences"
"233",249,"1744-1374","Journal of Institutional Economics",2000,"Economics, Econometrics and Finance (all)","Social sciences"
"234",250,"0031-8094","Philosophical Quarterly",1211,"Philosophy","Philosophy"
"235",251,"1755-0882","Journal of International Political Theory",3312,"Sociology and Political Science","Social sciences"
"236",252,"1755-0882","Journal of International Political Theory",3301,"Social Sciences (miscellaneous)","Social sciences"
"237",253,"0034-6764","Review of Social Economy",2002,"Economics and Econometrics","Social sciences"
"238",254,"0165-070X","Netherlands International Law Review",3308,"Law","Law"
"239",255,"1654-6369","Ethics and Global Politics",3312,"Sociology and Political Science","Social sciences"
"240",256,"1654-6369","Ethics and Global Politics",3320,"Political Science and International Relations","Social sciences"
"241",257,"0031-8191","Philosophy",1211,"Philosophy","Philosophy"
"242",258,"1350-1763","Journal of European Public Policy",3312,"Sociology and Political Science","Social sciences"
"243",259,"1350-1763","Journal of European Public Policy",3321,"Public Administration","Social sciences"
"244",260,"2071-1050","Sustainability",3305,"Geography, Planning and Development","Social sciences"
"245",261,"2071-1050","Sustainability",2105,"Renewable Energy, Sustainability and the Environment","Other"
"246",262,"2071-1050","Sustainability",2301,"Environmental Science (miscellaneous)","Other"
"247",263,"2071-1050","Sustainability",2102,"Energy Engineering and Power Technology","Other"
"248",264,"2071-1050","Sustainability",2308,"Management, Monitoring, Policy and Law","Other"
"249",265,"0002-9300","American Journal of International Law",3320,"Political Science and International Relations","Social sciences"
"250",266,"0002-9300","American Journal of International Law",3308,"Law","Law"
"251",267,"0026-7961","Modern Law Review",3308,"Law","Law"
"252",268,"0167-7411","Topoi",1211,"Philosophy","Philosophy"
"253",269,"1065-3058","Health Care Analysis",2910,"Issues, Ethics and Legal Aspects","Other"
"254",270,"1065-3058","Health Care Analysis",3306,"Health (social science)","Social sciences"
"255",271,"1065-3058","Health Care Analysis",2719,"Health Policy","Other"
"256",272,"0040-5825","Theoria",1211,"Philosophy","Philosophy"
"257",273,"0004-8658","Australian and New Zealand Journal of Criminology",2734,"Pathology and Forensic Medicine","Other"
"258",274,"0004-8658","Australian and New Zealand Journal of Criminology",3308,"Law","Law"
"259",275,"0004-8658","Australian and New Zealand Journal of Criminology",3207,"Social Psychology","Other"
"260",276,"0090-5917","Political Theory",1202,"History","Humanities"
"261",277,"0090-5917","Political Theory",3312,"Sociology and Political Science","Social sciences"
"262",278,"1080-0727","Indiana Journal of Global Legal Studies",3308,"Law","Law"
"263",279,"0026-9662","The Monist",1211,"Philosophy","Philosophy"
"264",280,"0002-7642","American Behavioral Scientist",3207,"Social Psychology","Other"
"265",281,"0002-7642","American Behavioral Scientist",3316,"Cultural Studies","Social sciences"
"266",282,"0002-7642","American Behavioral Scientist",3304,"Education","Social sciences"
"267",283,"0002-7642","American Behavioral Scientist",3312,"Sociology and Political Science","Social sciences"
"268",284,"0002-7642","American Behavioral Scientist",3300,"Social Sciences (all)","Social sciences"
"269",285,"0144-932X","Liverpool Law Review",3308,"Law","Law"
"270",286,"0263-323X","Journal of Law and Society",3312,"Sociology and Political Science","Social sciences"
"271",287,"0263-323X","Journal of Law and Society",3308,"Law","Law"
"272",288,"1387-6678","Library of Ethics and Applied Philosophy",1202,"History","Humanities"
"273",289,"1387-6678","Library of Ethics and Applied Philosophy",3303,"Development","Social sciences"
"274",290,"1387-6678","Library of Ethics and Applied Philosophy",1211,"Philosophy","Philosophy"
"275",291,"1387-6678","Library of Ethics and Applied Philosophy",3301,"Social Sciences (miscellaneous)","Social sciences"
"276",292,"1387-6678","Library of Ethics and Applied Philosophy",1207,"History and Philosophy of Science","Humanities"
"277",293,"1468-2486","International Studies Review",3305,"Geography, Planning and Development","Social sciences"
"278",294,"1468-2486","International Studies Review",3320,"Political Science and International Relations","Social sciences"
"279",295,"2210-5433","Philosophy and Technology",1211,"Philosophy","Philosophy"
"280",296,"2210-5433","Philosophy and Technology",1207,"History and Philosophy of Science","Humanities"
"281",297,"1089-0017","Good Society",3312,"Sociology and Political Science","Social sciences"
"282",298,"1089-0017","Good Society",1211,"Philosophy","Philosophy"
"283",299,"1748-8958","Criminology and Criminal Justice",3308,"Law","Law"
"284",300,"1362-4806","Theoretical Criminology",2734,"Pathology and Forensic Medicine","Other"
"285",301,"1362-4806","Theoretical Criminology",3312,"Sociology and Political Science","Social sciences"
"286",302,"1362-4806","Theoretical Criminology",3308,"Law","Law"
"287",305,"0303-8300","Social Indicators Research",3204,"Developmental and Educational Psychology","Other"
"288",306,"0303-8300","Social Indicators Research",1201,"Arts and Humanities (miscellaneous)","Humanities"
"289",307,"0303-8300","Social Indicators Research",3312,"Sociology and Political Science","Social sciences"
"290",308,"0303-8300","Social Indicators Research",3300,"Social Sciences (all)","Social sciences"
"291",309,"0026-4423","Mind",1211,"Philosophy","Philosophy"
"292",310,"0277-9536","Social Science and Medicine",3306,"Health (social science)","Social sciences"
"293",311,"0277-9536","Social Science and Medicine",1207,"History and Philosophy of Science","Humanities"
"294",312,"0031-8213","Philosophy and Rhetoric",1211,"Philosophy","Philosophy"
"295",313,"0258-0136","South African Journal of Philosophy",1211,"Philosophy","Philosophy"
"296",314,"0384-9694","Journal of Religious Ethics",1212,"Religious Studies","Humanities"
"297",315,"0889-3047","Review of Austrian Economics",2000,"Economics, Econometrics and Finance (all)","Social sciences"
"298",316,"0963-2719","Environmental Values",2300,"Environmental Science (all)","Other"
"299",317,"0963-2719","Environmental Values",1211,"Philosophy","Philosophy"
"300",318,"1742-3600","Episteme",1207,"History and Philosophy of Science","Humanities"
"301",319,"0011-1287","Crime and Delinquency",2734,"Pathology and Forensic Medicine","Other"
"302",320,"0011-1287","Crime and Delinquency",3308,"Law","Law"
"303",321,"0033-5630","Quarterly Journal of Speech",3304,"Education","Social sciences"
"304",322,"0033-5630","Quarterly Journal of Speech",3315,"Communication","Social sciences"
"305",323,"0033-5630","Quarterly Journal of Speech",1203,"Language and Linguistics","Humanities"
"306",324,"2150-7759","AJOB Neuroscience",2800,"Neuroscience (all)","Other"
"307",325,"0010-0277","Cognition",3205,"Experimental and Cognitive Psychology","Other"
"308",326,"0010-0277","Cognition",1203,"Language and Linguistics","Humanities"
"309",327,"0010-0277","Cognition",3204,"Developmental and Educational Psychology","Other"
"310",328,"0010-0277","Cognition",3310,"Linguistics and Language","Social sciences"
"311",329,"0010-0277","Cognition",2805,"Cognitive Neuroscience","Other"
"312",330,"0020-8833","International Studies Quarterly",3312,"Sociology and Political Science","Social sciences"
"313",331,"0020-8833","International Studies Quarterly",3320,"Political Science and International Relations","Social sciences"
"314",332,"0022-5053","Journal of the History of Philosophy",1211,"Philosophy","Philosophy"
"315",333,"0277-3945","Rhetoric Society Quarterly",3315,"Communication","Social sciences"
"316",334,"0277-3945","Rhetoric Society Quarterly",3310,"Linguistics and Language","Social sciences"
"317",335,"0925-4994","Crime, Law and Social Change",2734,"Pathology and Forensic Medicine","Other"
"318",336,"0925-4994","Crime, Law and Social Change",3300,"Social Sciences (all)","Social sciences"
"319",337,"0925-4994","Crime, Law and Social Change",3308,"Law","Law"
"320",338,"1876-4045","Hague Journal on the Rule of Law",3308,"Law","Law"
"321",339,"0021-3624","Journal of Economic Issues",1400,"Business, Management and Accounting (all)","Social sciences"
"322",340,"0021-3624","Journal of Economic Issues",2002,"Economics and Econometrics","Social sciences"
"323",341,"0022-3514","Journal of Personality and Social Psychology",3207,"Social Psychology","Other"
"324",342,"0022-3514","Journal of Personality and Social Psychology",3312,"Sociology and Political Science","Social sciences"
"325",343,"1502-7570","Journal of Military Ethics",3312,"Sociology and Political Science","Social sciences"
"326",344,"1502-7570","Journal of Military Ethics",1211,"Philosophy","Philosophy"
"327",345,"1664-1078","Frontiers in Psychology",3200,"Psychology (all)","Other"
"328",346,"1945-2829","Journal of Human Development and Capabilities",3303,"Development","Social sciences"
"329",348,"1028-2580","Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice",3308,"Law","Law"
"330",349,"1733-5566","Diametros",1211,"Philosophy","Philosophy"
"331",350,"0279-0750","Pacific Philosophical Quarterly",1211,"Philosophy","Philosophy"
"332",352,"1369-183X","Journal of Ethnic and Migration Studies",3317,"Demography","Social sciences"
"333",353,"1369-183X","Journal of Ethnic and Migration Studies",1201,"Arts and Humanities (miscellaneous)","Humanities"
"334",354,"0022-5037","Journal of the History of Ideas",1211,"Philosophy","Philosophy"
"335",355,"1932-6203","PLoS ONE",1000,"Multidisciplinary","Other"
"336",356,"2194-5624","Moral Philosophy and Politics",1211,"Philosophy","Philosophy"
"337",357,"2194-5624","Moral Philosophy and Politics",3312,"Sociology and Political Science","Social sciences"
"338",358,"2194-5624","Moral Philosophy and Politics",1207,"History and Philosophy of Science","Humanities"
"339",359,"0003-0481","American Philosophical Quarterly",1211,"Philosophy","Philosophy"
"340",360,"0013-1857","Educational Philosophy and Theory",3304,"Education","Social sciences"
