...1,id,display_name,publication_year,type,journal,journal_id,doi,citations,first_author,n,group,X.1,X
41,https://openalex.org/W2797910919,The Reliance Interest in Property,1988,journal-article,Stanford Law Review,https://openalex.org/V161743634,https://doi.org/10.2307/1228814,90,Joseph William Singer,8,expand1,NA,NA
42,https://openalex.org/W2797629819,Promises in Morality and Law,1982,journal-article,Harvard Law Review,https://openalex.org/V117766065,https://doi.org/10.2307/1340782,49,Joseph Raz,8,expand1,NA,NA
43,https://openalex.org/W2797180162,A Realistic Jurisprudence: The Next Step,1930,journal-article,Columbia Law Review,https://openalex.org/V183770981,https://doi.org/10.4324/9780203787823-8,112,Karl N. Llewellyn,8,expand1,NA,NA
44,https://openalex.org/W2796851335,Is the Common Law Law,1989,journal-article,California Law Review,https://openalex.org/V172107878,https://doi.org/10.2307/3480610,25,Frederick Schauer,8,expand1,NA,NA
45,https://openalex.org/W2795709295,Public Response to Racist Speech: Considering the Victim’s Story,1989,book-chapter,Michigan Law Review,https://openalex.org/V69429964,https://doi.org/10.4324/9780429502941-2,214,Mari J. Matsuda,8,expand1,NA,NA
46,https://openalex.org/W2795655825,Legal Theory and the Obligation of a Judge: The Hart/Dworkin Dispute,1977,journal-article,Michigan Law Review,https://openalex.org/V69429964,https://doi.org/10.2307/1287980,35,E. Philip Soper,8,expand1,NA,NA
47,https://openalex.org/W2506502828,Definition and Theory in Jurisprudence,1983,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780198253884.003.0002,125,H. L. A. Hart,8,expand1,NA,NA
48,https://openalex.org/W2506388663,The Morality of Tort Law—Questions and Answers,1997,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780198265795.003.0004,16,Tony Honoré,8,expand1,NA,NA
49,https://openalex.org/W2505959087,Liberty and Morality,1994,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780198201656.003.0002,70,Stefan Petrow,8,expand1,NA,NA
50,https://openalex.org/W2503862460,The Purity of the Pure Theory,1981,journal-article,Revue Internationale De Philosophie,https://openalex.org/V24510439,NA,21,Joseph Raz,8,expand1,NA,NA
51,https://openalex.org/W2487323718,The Nature of Arguments about the Nature of Law,2003,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780199248254.003.0001,16,Robert Alexy,8,expand1,NA,NA
52,https://openalex.org/W2486551014,Not Just Deserts,1992,monograph,NA,NA,https://doi.org/10.1093/acprof:oso/9780198240563.001.0001,72,John Braithwaite,8,expand1,NA,NA
53,https://openalex.org/W2485474302,Legality's Borders,2010,monograph,NA,NA,https://doi.org/10.1093/acprof:oso/9780195370751.001.0001,57,Keith Culver,8,expand1,NA,NA
54,https://openalex.org/W2480984105,Commands and Authoritative Legal Reasons,1982,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780198254683.003.0011,37,H. L. A. Hart,8,expand1,NA,NA
55,https://openalex.org/W2479792795,The Opposite Mirrors,1995,book,Law and philosophy library,https://openalex.org/V4210184901,https://doi.org/10.1007/978-94-017-3409-7,56,Eerik Lagerspetz,8,expand1,NA,NA
56,https://openalex.org/W2478371252,Problems of the Philosophy of Law,1983,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780198253884.003.0004,24,H. L. A. Hart,8,expand1,NA,NA
57,https://openalex.org/W2478286814,The Varieties of Legal Positivism: Critical Notice: Inclusive Legal Positivism by W.J. Waluchow*,1996,journal-article,The Canadian Journal of Law and Jurisprudence,https://openalex.org/V2764647375,https://doi.org/10.1017/s0841820900003490,14,Stephen R. Perry,8,expand1,NA,NA
58,https://openalex.org/W2399036525,Can Negligence Be Culpable,2000,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,8,A. P. Simester,8,expand1,NA,NA
59,https://openalex.org/W2330528382,The Toxin Puzzle,1983,journal-article,Analysis,https://openalex.org/V121299002,https://doi.org/10.1093/analys/43.1.33,256,Gregory S. Kavka,8,expand1,NA,NA
60,https://openalex.org/W2328389233,Why Punish the Deserving,1992,journal-article,Noûs,https://openalex.org/V170801797,https://doi.org/10.2307/2216023,29,Douglas Husak,8,expand1,NA,NA
61,https://openalex.org/W2326201171,Theoretical Foundations of Liberalism,1987,journal-article,The Philosophical Quarterly,https://openalex.org/V81959571,https://doi.org/10.2307/2220334,261,Jeremy Waldron,8,expand1,NA,NA
62,https://openalex.org/W2316781558,No Right Answer,1979,journal-article,The Philosophical Quarterly,https://openalex.org/V81959571,https://doi.org/10.2307/2219180,44,A. D. Woozley,8,expand1,NA,NA
63,https://openalex.org/W2286874445,Legal Texts and canons of construction: A view from current pragmatic theory.,2012,book-chapter,"In: Freeman, M, (ed.) Law and Language.    Oxford University Press: Oxford. (2012)    (In press).",NA,NA,26,RA Carston,8,expand1,NA,NA
65,https://openalex.org/W2170689157,The Criminal Process,1994,book,NA,NA,NA,99,Andrew Ashworth,8,expand1,NA,NA
66,https://openalex.org/W2170244904,RULES AND REASONS IN THE THEORY OF PRECEDENT,2011,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325211000036,36,John F. Horty,8,expand1,NA,NA
67,https://openalex.org/W2162584304,Penal Communications: Recent Work in the Philosophy of Punishment,1996,journal-article,Crime and Justice,https://openalex.org/V191292005,https://doi.org/10.1086/449241,70,R. A. Duff,8,expand1,NA,NA
68,https://openalex.org/W2161664509,Dialogues about the burden of proof,2005,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/1165485.1165503,57,Henry Prakken,8,expand1,NA,NA
69,https://openalex.org/W2158632923,An Institutional Theory of Law: New Approaches to Legal Positivism,1986,book,NA,NA,NA,126,Neil MacCormick,8,expand1,NA,NA
70,https://openalex.org/W2148721472,"Promising, Intimate Relationships, and Conventionalism",2008,journal-article,The Philosophical Review,https://openalex.org/V35579339,https://doi.org/10.1215/00318108-2008-014,77,Seana Valentine Shiffrin,8,expand1,NA,NA
71,https://openalex.org/W2139100182,Towards Juristocracy: The Origins and Consequences of the New Constitutionalism,2004,book,NA,NA,NA,477,Ran Hirschl,8,expand1,NA,NA
72,https://openalex.org/W2138337462,Norm and Action: A Logical Enquiry.,1965,journal-article,The Philosophical Quarterly,https://openalex.org/V81959571,https://doi.org/10.2307/2218217,204,R. M. Hare,8,expand1,NA,NA
73,https://openalex.org/W2124794696,The Special Case Thesis,1999,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/1467-9337.00131,25,Robert Alexy,8,expand1,NA,NA
74,https://openalex.org/W2124589246,Legislation as Communication? Legal Interpretation and the Study of Linguistic Communication,2010,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,18,Mark Greenberg,8,expand1,NA,NA
75,https://openalex.org/W2122664274,"Crime, Prohibition, and Punishment",2002,journal-article,Journal of Applied Philosophy,https://openalex.org/V100706773,https://doi.org/10.1111/1468-5930.00207,23,R. A. Duff,8,expand1,NA,NA
76,https://openalex.org/W2119912892,An Approach To The Problems Of Punishment,1958,journal-article,Philosophy,https://openalex.org/V69970347,https://doi.org/10.1017/s0031819100055017,40,S. I. Benn,8,expand1,NA,NA
77,https://openalex.org/W2119540646,Human Dignity and judicial Interpretation of Human Rights,2008,journal-article,European Journal of International Law,https://openalex.org/V175405714,https://doi.org/10.1093/ejil/chn043,387,Christopher McCrudden,8,expand1,NA,NA
78,https://openalex.org/W2116057227,THE RULE OF LAW,2007,journal-article,Cambridge Law Journal,https://openalex.org/V206866588,https://doi.org/10.1017/s0008197307000037,525,Lord Bingham,8,expand1,NA,NA
79,https://openalex.org/W2109498583,The Act Itself,1995,book,NA,NA,NA,178,Jonathan Bennett,8,expand1,NA,NA
80,https://openalex.org/W2106536319,Dialectical argumentation with argumentation schemes: an approach to legal logic,2003,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1023/b:arti.0000046008.49443.36,152,Bart Verheij,8,expand1,NA,NA
81,https://openalex.org/W2102550883,The Responsibility of the Psychopath Revisited,2008,journal-article,"Philosophy, Psychiatry, & Psychology",https://openalex.org/V1025762778,https://doi.org/10.1353/ppp.0.0003,77,Neil Levy,8,expand1,NA,NA
82,https://openalex.org/W2101515436,The Value of Vagueness,2008,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,34,Timothy Endicott,8,expand1,NA,NA
83,https://openalex.org/W2098425549,Theoretical Disagreement and the Semantic Sting,2010,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqq019,12,Dale Smith,8,expand1,NA,NA
84,https://openalex.org/W2095434898,Free Speech: A Philosophical Enquiry,1982,book,NA,NA,NA,161,Frederick Schauer,8,expand1,NA,NA
85,https://openalex.org/W2094073190,On the Structure of Legal Principles,2000,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/1467-9337.00157,82,Robert Alexy,8,expand1,NA,NA
86,https://openalex.org/W2089679326,From logic to dialectics in legal argument,1995,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/222092.222230,53,Henry Prakken,8,expand1,NA,NA
87,https://openalex.org/W2083680054,A THEORY OF NECESSITY,1987,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/7.3.339,20,Alan Brudner,8,expand1,NA,NA
88,https://openalex.org/W2082714314,State Legitimacy and Self-defence,2011,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-011-9105-2,14,Massimo Renzo,8,expand1,NA,NA
89,https://openalex.org/W2080098845,The Cultural Study of Law: Reconstructing Legal Scholarship,1999,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,97,Paul W. Kahn,8,expand1,NA,NA
90,https://openalex.org/W2078644730,Disagreement in Politics,1998,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/43.1.25,304,Joseph Raz,8,expand1,NA,NA
91,https://openalex.org/W2077539373,A sociological theory of law,1985,book,NA,NA,NA,196,Niklas Luhmann,8,expand1,NA,NA
92,https://openalex.org/W2067769011,H.L.A. Hart,1981,book,NA,NA,NA,33,Neil MacCormick,8,expand1,NA,NA
93,https://openalex.org/W2065946385,"On Respect, Authority, and Neutrality: A Response",2010,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/651426,34,Joseph Raz,8,expand1,NA,NA
95,https://openalex.org/W2058994940,On reason and authority in Law's Empire,1987,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf00142932,24,John Finnis,8,expand1,NA,NA
96,https://openalex.org/W2054504893,Feminism and the power of law,1989,book,NA,NA,NA,728,Carol Smart,8,expand1,NA,NA
97,https://openalex.org/W2052982726,A Deterrence Theory of Punishment,2003,journal-article,The Philosophical Quarterly,https://openalex.org/V81959571,https://doi.org/10.1111/1467-9213.00316,26,Anthony Ellis,8,expand1,NA,NA
98,https://openalex.org/W2052916539,A computational model of ratio decidendi,1994,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1007/bf00871744,94,L. Karl Branting,8,expand1,NA,NA
99,https://openalex.org/W2051784609,Understanding precedents in a temporal context of evolving legal doctrine,1995,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/222092.222116,34,Donald H. Berman,8,expand1,NA,NA
100,https://openalex.org/W2048451539,Conceptual organization of case law knowledge bases,1987,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/41735.41740,52,Carole D. Hafner,8,expand1,NA,NA
101,https://openalex.org/W2044255462,On following orders in an unjust war,2007,journal-article,Journal of Political Philosophy,https://openalex.org/V81746323,https://doi.org/10.1111/j.1467-9760.2007.00277.x,38,David Estlund,8,expand1,NA,NA
102,https://openalex.org/W2043196526,"Raz on Detachment, Acceptance and Describability",2007,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqm001,16,Kevin Toh,8,expand1,NA,NA
103,https://openalex.org/W2039980910,Rawls's Law of Peoples: Rules for a Vanished Westphalian World*,2000,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/233370,470,Allen Buchanan,8,expand1,NA,NA
104,https://openalex.org/W2039336033,Moral Free Riding,1995,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.1995.tb00020.x,59,Garrett Cullity,8,expand1,NA,NA
105,https://openalex.org/W2035416838,Conditional entailment: bridging two approaches to default reasoning,1992,journal-article,Artificial Intelligence,https://openalex.org/V196139623,https://doi.org/10.1016/0004-3702(92)90071-5,189,Hector Geffner,8,expand1,NA,NA
106,https://openalex.org/W2034234218,The Autonomy Defense of Free Speech,1998,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/233807,68,Susan J. Brison,8,expand1,NA,NA
107,https://openalex.org/W2032974234,Building explanations from rules and structured cases,1991,journal-article,International Journal of Human-computer Studies / International Journal of Man-machine Studies,https://openalex.org/V129573059,https://doi.org/10.1016/0020-7373(91)90012-v,107,L. Karl Branting,8,expand1,NA,NA
108,https://openalex.org/W2026693267,Associative Allegiances and Political Obligations,1997,journal-article,Social Theory and Practice,https://openalex.org/V68409214,https://doi.org/10.5840/soctheorpract19972328,38,Christopher Heath Wellman,8,expand1,NA,NA
109,https://openalex.org/W2024341531,Theories of Justice,1989,book,NA,NA,NA,359,Brian Barry,8,expand1,NA,NA
110,https://openalex.org/W2023270709,Moral responsibility and ignorance,1997,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/233742,166,Michael J. Zimmerman,8,expand1,NA,NA
111,https://openalex.org/W2020354413,A Misconceived Discourse on Political Obligation,1993,journal-article,Political Studies,https://openalex.org/V90283396,https://doi.org/10.1111/j.1467-9248.2006.tb00926.x,29,Bhikhu Parekh,8,expand1,NA,NA
112,https://openalex.org/W2012969173,Toward a moral theory of negligence law,1983,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf00145312,22,Ernest J. Weinrib,8,expand1,NA,NA
113,https://openalex.org/W2004624139,The Justification of Punishment,1954,journal-article,Philosophy,https://openalex.org/V69970347,https://doi.org/10.1017/s0031819100067152,56,Antony Flew,8,expand1,NA,NA
114,https://openalex.org/W2002087186,Criminal Deterrence Research at the Outset of the Twenty-First Century,1998,journal-article,Crime and Justice,https://openalex.org/V191292005,https://doi.org/10.1086/449268,694,Daniel S. Nagin,8,expand1,NA,NA
115,https://openalex.org/W1999439266,A Discourse-Theoretical Conception of Practical Reason,1992,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.1992.tb00127.x,20,Robert Alexy,8,expand1,NA,NA
116,https://openalex.org/W1994751412,Superseding Historic Injustice,1992,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/293468,375,Jeremy Waldron,8,expand1,NA,NA
117,https://openalex.org/W1986667594,The Idea of Justice and the Problem of Argument,1963,book,NA,NA,NA,175,Chaïm Perelman,8,expand1,NA,NA
118,https://openalex.org/W1985565797,"Mental Impairment, Moral Understanding and Criminal Responsibility: Psychopathy and the Purposes of Punishment",2004,journal-article,International Journal of Law and Psychiatry,https://openalex.org/V44052652,https://doi.org/10.1016/j.ijlp.2004.06.005,82,Cordelia Fine,8,expand1,NA,NA
119,https://openalex.org/W1979887341,The moral foundation of rights,1987,book,NA,NA,NA,183,L. W. Sumner,8,expand1,NA,NA
121,https://openalex.org/W1975230427,Inculpatory and exculpatory mistakes and the fact/law distinction: An essay in memory of Myke Balyes,1993,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf01000795,17,Larry Alexander,8,expand1,NA,NA
122,https://openalex.org/W1975154664,Giving desert its due,2013,journal-article,Philosophical Explorations,https://openalex.org/V125458434,https://doi.org/10.1080/13869795.2013.787437,49,Thomas Scanlon,8,expand1,NA,NA
123,https://openalex.org/W1973312576,Individualizing the Reasonable Person in Criminal Law,2008,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-007-9041-2,15,Peter Westen,8,expand1,NA,NA
124,https://openalex.org/W1972337522,Legal reasoning with argumentation schemes,2009,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/1568234.1568250,69,Thomas F. Gordon,8,expand1,NA,NA
125,https://openalex.org/W1968143255,The Role of Sanctions and Coercion in Understanding Law and Legal Systems,1976,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/21.1.71,17,Hans Oberdiek,8,expand1,NA,NA
126,https://openalex.org/W1967124739,The Moral Magic of Consent (II),1996,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000471,50,Larry Alexander,8,expand1,NA,NA
127,https://openalex.org/W1838319998,The Idea of Public Law,2004,book,NA,NA,NA,136,Martin Loughlin,8,expand1,NA,NA
128,https://openalex.org/W1803159072,Modelling Defeasibility in Law: Logic or Procedure?,2001,proceedings-article,deontic logic in computer science,NA,NA,46,Henry Prakken,8,expand1,NA,NA
129,https://openalex.org/W177543178,Race and Essentialism in Feminist Legal Theory,1990,journal-article,Stanford Law Review,https://openalex.org/V161743634,https://doi.org/10.2307/1228886,464,Angela P. Harris,8,expand1,NA,NA
130,https://openalex.org/W162577003,"Civic Virtues: Rights, Citizenship, and Republican Liberalism",1997,book,NA,NA,NA,292,Richard Dagger,8,expand1,NA,NA
131,https://openalex.org/W1606033122,A Theory of Crimes Against Humanity,2004,journal-article,Yale Journal of International Law,https://openalex.org/V60824867,NA,89,David Luban,8,expand1,NA,NA
132,https://openalex.org/W1589544370,"Hiding from Humanity: Disgust, Shame, and the Law",2004,book,NA,NA,NA,632,Martha Craven Nussbaum,8,expand1,NA,NA
133,https://openalex.org/W1588542075,Free will and illusion,2000,book,NA,NA,NA,197,Saul Smilansky,8,expand1,NA,NA
134,https://openalex.org/W1584140962,Introduction to the Problems of Legal Theory: A Translation of the First Edition of the Reine Rechtslehre or Pure Theory of Law,1992,book,NA,NA,NA,74,Hans Kelsen,8,expand1,NA,NA
135,https://openalex.org/W1576359799,The Gains and Losses of Corrective Justice,1994,journal-article,Duke Law Journal,https://openalex.org/V120433428,https://doi.org/10.2307/1372873,26,Ernest J. Weinrib,8,expand1,NA,NA
136,https://openalex.org/W1575619584,Frame-based conceptual models of statute law,1995,book,NA,NA,NA,89,Robert W. Van Kralingen,8,expand1,NA,NA
137,https://openalex.org/W1568887659,Exploring law's empire : the jurisprudence of Ronald Dworkin,2006,book,NA,NA,NA,23,Scott Hershovitz,8,expand1,NA,NA
138,https://openalex.org/W1564679112,The Criminal Law and the Luck of the Draw,1993,journal-article,Journal of Criminal Law & Criminology,https://openalex.org/V66810094,NA,31,Sanford H. Kadish,8,expand1,NA,NA
139,https://openalex.org/W1556061918,An Introduction to the International Criminal Court,2001,book,NA,NA,NA,370,William A. Schabas,8,expand1,NA,NA
141,https://openalex.org/W1537848071,Legal knowledge engineering : a modelling approach,1995,book,NA,NA,NA,128,A. Valente,8,expand1,NA,NA
142,https://openalex.org/W1534854312,American constitutional law,1978,book,NA,NA,NA,340,Laurence H. Tribe,8,expand1,NA,NA
143,https://openalex.org/W1531766078,A comment on the Commentaries and A fragment on government,1977,book,NA,NA,NA,100,Jeremy Bentham,8,expand1,NA,NA
144,https://openalex.org/W1527529729,12. The Difficulty of Tolerance,1998,book-chapter,Raisons Politiques,https://openalex.org/V110891900,https://doi.org/10.1515/9781400822010.226,115,Thomas Scanlon,8,expand1,NA,NA
145,https://openalex.org/W1516740357,Justice as translation : an essay in cultural and legal criticism,1990,book,NA,NA,NA,121,James Boyd White,8,expand1,NA,NA
146,https://openalex.org/W1508429220,Responsibility in law and morality,2002,book,NA,NA,NA,139,Peter Cane,8,expand1,NA,NA
147,https://openalex.org/W1504699294,Causation and the Excuses,1985,journal-article,California Law Review,https://openalex.org/V172107878,https://doi.org/10.15779/z381b20,40,Michael S. Moore,8,expand1,NA,NA
148,https://openalex.org/W1500423845,Human Rights in Criminal Proceedings,2005,book,NA,NA,NA,98,Stefan Trechsel,8,expand1,NA,NA
149,https://openalex.org/W1491223880,The Tempting of America: The Political Seduction of the Law,1989,book,NA,NA,NA,237,Robert H. Bork,8,expand1,NA,NA
150,https://openalex.org/W1487379640,A constructive framework for legal ontologies,2005,book-chapter,Lecture Notes in Computer Science,https://openalex.org/V106296714,https://doi.org/10.1007/978-3-540-32253-5_7,110,Aldo Gangemi,8,expand1,NA,NA
